department	x	y	z	weightingFactor
141000	74.5	230	16.25	1
191000	18.5	310	20.3	1
200000	171	175	24.1	0.09
200000	312	140.5	19.2	0.32
200000	325	147	22.1	0.05
200000	140	175	16.25	0.27
200000	140	175	12.2	0.27
203000	314	124	22.1	1
205000	120	190	12.2	1
208000	175	156	16	1
220000	74	247	24.35	1
221000	45	255	24.35	1
222000	42	217	24.35	1
224000	61	216	24.35	1
225000	70	259	24.35	1
228000	325	125	14.25	1
231000	175	175	12.2	0.5
231000	178	193	12.2	0.5
232000	222	193	12.2	0.33
232000	232	192	46.9	0.33
232000	270	192	46.9	0.33
233000	205	192	12.2	1
238000	279	195	12.2	1
240000	298	192	12.2	1
260000	205	198	20.3	0.2
260000	28	210	12.2	0.5
260000	75	214	15.25	0.2
260000	125	186	16.25	0.1
261000	105	200	16.25	1
262000	71	170	12.2	1
263000	64	215	12.2	1
264000	77	250	12.2	0.5
264000	58	255	12.2	0.5
265000	190	197	20.3	1
267000	76	252	20.3	1
280000	90	257	12.2	1
281000	92	257	33.64	1
290000	37	271	8.8	1
301000	28	270	20.3	1
304000	82	280	16.25	1
308000	45	270	20.3	1
309000	90	200	33.64	1
314000	64	253	12.2	1
316000	77	230	33.64	1
319000	106	254	47.24	1
321000	67	270	20.3	1
323000	19	310	22.04	1
326000	42	197	20.3	1
340000	207	152	24.1	1
359000	310	302	12.25	1
363000	86	181	20.3	1
364000	92	190	20.3	0.6
364000	154	333	21.03	0.2
364000	154	333	16.32	0.2
373000	33	280	16.25	1
379000	275	150	16	1
399000	110	282	16.25	0.5
399000	343	288	16.71	0.5
410000	92	200	37.04	1
412000	92	260	37.04	1
413000	92	260	40.44	1
414000	92	200	43.84	1
415000	92	260	43.84	1
416000	76	226	47.24	1
417000	107	271	16.25	1
422000	83	253	37.04	1
431000	92	200	40.44	1
441000	92	260	33.64	1
460000	140	175	20.3	1
461000	190	190	39.3	1
463000	183	193	27.9	1
464000	206	193	31.7	1
465000	206	193	35.5	1
466000	206	193	39.3	1
467000	206	193	43.1	1
469000	218	193	27.9	1
470000	230	193	20.3	1
471000	206	193	24.1	1
472000	316	193	20.3	1
475000	298	193	35.5	1
477000	298	193	43.1	1
480000	92	183	16.25	1
492000	186	193	31.7	1
501000	279	193	24.1	1
504000	313	193	24.1	1
573000	92	200	47.24	1
731000	47	210	16.25	1
733000	225	160	16	1
741000	76	212	20.3	1
746000	32	266	16.25	0.5
746000	76	212	40.44	0.5
749000	77	250	16.25	1
758000	293	156	16	0.5
758000	297	125	14.25	0.5
764000	340	260	16.71	1
767000	92	200	40.44	1
768000	328	193	31.7	1
338000	275	153	20.3	1
329000	220	153	20.3	1
310000	52	233	24.35	1
756000	55	188	20.3	1
333000	188	157	20.3	1
